Constituency_No,AC,CATEGORY,DISTRICT,DIVISION,PC,SC,ST,RURAL,URBAN,MUSLIM
49,BAPUNAGAR,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD EAST,11.14,0.31,0,100,0
47,NARODA,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD EAST,6.19,1.87,0,100,0
46,NIKOL,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD EAST,7.68,0.21,0,100,0
48,THAKKARBAPA NAGAR,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD EAST,14.29,0.19,0,100,0
43,VATVA,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD EAST,3.83,0.99,7.39,52.61,0
50,AMRAIWADI,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD WEST,13.84,0.76,0,100,0
56,ASARWA,SC,AHMEDABAD,CENTRAL,AHMEDABAD WEST,16.23,1.58,0,100,0
173,DANILIMDA,SC,AHMEDABAD,SOUTH,AHMEDABAD WEST,20.25,0.79,0,100,0
10,DARIAPUR,GENERAL,AHMEDABAD,NORTH,AHMEDABAD WEST,6.23,0.42,0,100,0
44,ELLISBRIDGE,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD WEST,8.88,1.27,0,100,0
52,JAMALPUR KHADIA,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD WEST,13.12,0.5,0,100,0
53,MANINAGAR,GENERAL,AHMEDABAD,CENTRAL,AHMEDABAD WEST,5.65,0.91,0,100,0
41,GHATLODIA,GENERAL,AHMEDABAD,CENTRAL,GANDHINAGAR,2.84,0.43,1.96,98.04,0
45,NARANPURA,GENERAL,AHMEDABAD,CENTRAL,GANDHINAGAR,11.97,0.91,0,100,0
55,SABARMATI,GENERAL,AHMEDABAD,CENTRAL,GANDHINAGAR,8.82,1.66,0,100,0
40,SANAND,GENERAL,AHMEDABAD,CENTRAL,GANDHINAGAR,11.49,2.94,51.96,48.04,0.7
42,VEJALPUR,GENERAL,AHMEDABAD,CENTRAL,GANDHINAGAR,5.34,0.62,0,100,0
60,DASKROI,GENERAL,AHMEDABAD,SAURASHTRA,KHEDA,6.73,0.92,45.6,54.41,0
58,DHOLKA,GENERAL,AHMEDABAD,CENTRAL,KHEDA,13.37,0.65,71.89,28.12,0
59,DHANDHUKA,GENERAL,AHMEDABAD,CENTRAL,SURENDRANAGAR,7.59,0.19,78.56,21.44,0
39,VIRAMGAM,GENERAL,AHMEDABAD,CENTRAL,SURENDRANAGAR,10.94,0.89,83.91,16.09,1.2
95,AMRELI,GENERAL,AMRELI,SAURASHTRA,AMRELI,10.62,0.97,65.12,34.88,0
94,DHARI,GENERAL,AMRELI,SAURASHTRA,AMRELI,10.48,0.52,80.89,19.11,0
96,LATHI,GENERAL,AMRELI,SAURASHTRA,AMRELI,7.88,0.48,77.11,22.89,0
98,RAJULA,GENERAL,AMRELI,SAURASHTRA,AMRELI,7.17,0.17,80.14,19.86,0
97,SAVARKUNDLA,GENERAL,AMRELI,SAURASHTRA,AMRELI,7.77,0.21,70.2,29.8,0
112,ANAND,GENERAL,ANAND,CENTRAL,ANAND,4.35,3.35,14.32,85.68,0
110,ANKLAV,GENERAL,ANAND,CENTRAL,ANAND,3.94,0.77,92.18,7.82,0
109,BORSAD,GENERAL,ANAND,CENTRAL,ANAND,3.67,0.46,79.62,20.39,0
108,KHAMBHAT,GENERAL,ANAND,CENTRAL,ANAND,6.97,0.86,65.29,34.71,0
113,PETLAD,GENERAL,ANAND,CENTRAL,ANAND,6.07,0.68,80.42,19.59,0
114,SOJITRA,GENERAL,ANAND,CENTRAL,ANAND,7.14,0.47,93.77,6.23,0
111,UMRETH,GENERAL,ANAND,CENTRAL,ANAND,3.37,1.22,76.19,23.82,0
30,BHILODA,ST,ARVALLI,NORTH,SABARKANTHA,4.21,50.17,93,7.01,0.4
32,BAYAD,GENERAL,ARVALLI,NORTH,SABARKANTHA,6.56,1.87,89.65,10.35,0.5
31,MODASA,GENERAL,ARVALLI,NORTH,SABARKANTHA,7.57,2.61,79.46,20.54,2.6
